"id","activityid","date"
5902,772,"2021-12-28"
5903,2900,"2017-08-24"
5904,3923,"2024-08-18"
5905,14602,"2017-10-28"
5906,8414,"2023-05-08"
5907,6786,"2019-10-15"
5908,12753,"2019-08-25"
5909,9127,"2017-01-17"
5910,12953,"2022-01-28"
5911,5050,"2023-01-19"
5912,8844,"2021-08-25"
5913,11596,"2020-09-12"
5914,10034,"2021-07-22"
5915,7816,"2018-12-17"
5916,508,"2024-04-06"
5917,974,"2017-11-14"
5918,2301,"2018-09-07"
5919,3624,"2020-04-12"
5920,3181,"2019-08-04"
5921,2180,"2017-02-20"
5922,9741,"2019-04-26"
5923,9926,"2024-08-25"
5924,5564,"2020-12-15"
5925,14794,"2018-03-13"
5926,12130,"2018-08-10"
5927,9884,"2017-02-06"
5928,773,"2021-01-24"
5929,14374,"2024-10-19"
5930,8032,"2017-09-03"
5931,8333,"2020-04-29"
5932,13296,"2022-06-10"
5933,5903,"2019-03-22"
5934,5085,"2024-02-07"
5935,11975,"2019-11-24"
5936,2333,"2024-08-20"
5937,12888,"2023-05-08"
5938,8788,"2017-02-11"
5939,9273,"2019-09-16"
5940,5353,"2019-10-03"
5941,12167,"2019-06-25"
5942,3332,"2020-05-08"
5943,14904,"2019-07-01"
5944,4278,"2020-10-01"
5945,6688,"2022-03-07"
5946,7092,"2017-03-19"
5947,13167,"2022-08-04"
5948,9827,"2023-03-20"
5949,733,"2021-12-12"
5950,2714,"2019-03-03"
5951,10591,"2024-08-13"
5952,590,"2023-03-03"
5953,555,"2023-07-20"
5954,219,"2019-09-03"
5955,4695,"2017-11-21"
5956,13161,"2023-04-20"
5957,10741,"2019-05-04"
5958,11084,"2017-04-26"
5959,7824,"2020-05-14"
5960,10814,"2017-02-02"
5961,4555,"2021-07-21"
5962,3538,"2023-04-17"
5963,14853,"2022-12-17"
5964,2397,"2024-10-10"
5965,4795,"2019-04-08"
5966,1994,"2019-06-28"
5967,14417,"2024-01-28"
5968,10667,"2020-12-09"
5969,12878,"2020-11-24"
5970,9611,"2017-05-26"
5971,12277,"2021-09-17"
5972,7578,"2018-05-02"
5973,11970,"2020-09-08"
5974,14562,"2022-10-11"
5975,12305,"2018-12-30"
5976,14280,"2019-06-20"
5977,3004,"2021-07-11"
5978,10943,"2023-08-26"
5979,8886,"2021-08-18"
5980,4719,"2020-06-05"
5981,10161,"2019-11-17"
5982,1867,"2017-06-14"
5983,3500,"2019-03-29"
5984,1654,"2017-07-07"
5985,6788,"2024-07-13"
5986,7484,"2017-09-05"
5987,8915,"2017-08-05"
5988,11329,"2022-08-21"
5989,8724,"2017-07-15"
5990,7944,"2022-08-07"
5991,12632,"2017-12-13"
5992,729,"2017-12-31"
5993,6900,"2023-06-11"
5994,12349,"2023-12-08"
5995,1023,"2023-10-21"
5996,9573,"2022-07-25"
5997,4881,"2021-08-14"
5998,1153,"2019-06-02"
5999,8931,"2020-10-31"
6000,1901,"2022-10-18"
6001,1247,"2018-04-06"
6002,13630,"2019-06-07"
6003,13307,"2024-02-08"
6004,3052,"2024-02-27"
6005,8637,"2021-07-29"
6006,3371,"2018-04-21"
6007,7735,"2021-07-23"
6008,1747,"2017-12-17"
6009,13635,"2018-05-19"
6010,6250,"2022-03-09"
6011,520,"2018-04-29"
6012,6379,"2024-04-07"
6013,3304,"2017-01-14"
6014,14265,"2022-08-02"
6015,732,"2024-10-16"
6016,12857,"2024-01-22"
6017,2064,"2022-03-01"
6018,5661,"2019-05-06"
6019,3946,"2024-10-27"
6020,9636,"2023-12-13"
6021,8705,"2017-06-16"
6022,3448,"2021-06-03"
6023,642,"2024-10-31"
6024,5481,"2023-09-19"
6025,9923,"2023-01-25"
6026,5030,"2020-09-02"
6027,8668,"2020-01-03"
6028,7526,"2018-02-28"
6029,3849,"2024-12-11"
6030,6477,"2020-05-29"
6031,5712,"2024-07-08"
6032,4190,"2019-10-18"
6033,1160,"2019-01-05"
6034,8866,"2017-01-01"
6035,13864,"2017-04-03"
6036,5866,"2017-06-18"
6037,2272,"2022-06-06"
6038,4352,"2021-06-24"
6039,13746,"2022-07-08"
6040,5501,"2022-04-18"
6041,823,"2019-02-22"
6042,13508,"2017-04-08"
6043,1993,"2022-11-25"
6044,7121,"2020-06-16"
6045,4638,"2021-06-01"
6046,1571,"2018-12-15"
6047,4405,"2024-08-14"
6048,7111,"2018-06-10"
6049,3608,"2017-03-27"
6050,9375,"2019-02-28"
6051,11576,"2024-01-20"
6052,4083,"2021-07-29"
6053,13081,"2020-07-06"
6054,6850,"2020-03-21"
6055,10500,"2022-11-13"
6056,10904,"2019-11-13"
6057,3483,"2021-12-08"
6058,8632,"2021-02-04"
6059,1525,"2017-07-09"
6060,688,"2022-10-10"
6061,12889,"2023-03-27"
6062,7909,"2019-02-19"
6063,4396,"2021-03-11"
6064,2215,"2023-11-12"
6065,6497,"2022-01-15"
6066,12527,"2024-07-01"
6067,8188,"2018-01-12"
6068,4844,"2024-02-05"
6069,8870,"2022-04-10"
6070,5202,"2021-03-18"
6071,8545,"2023-09-02"
6072,1539,"2021-03-28"
6073,8372,"2017-04-16"
6074,14199,"2023-11-16"
6075,12043,"2023-04-26"
6076,10069,"2023-12-17"
6077,487,"2024-06-19"
6078,8009,"2017-04-04"
6079,6768,"2022-04-28"
6080,7993,"2018-07-14"
6081,13229,"2022-03-20"
6082,5287,"2018-04-23"
6083,4629,"2023-01-28"
6084,10369,"2021-11-01"
6085,4436,"2018-02-17"
6086,4617,"2018-12-15"
6087,6890,"2018-05-08"
6088,1563,"2022-11-30"
6089,13263,"2018-03-10"
6090,10211,"2024-01-07"
6091,9960,"2024-04-16"
6092,4043,"2024-07-08"
6093,12951,"2023-08-25"
6094,12774,"2017-07-18"
6095,10102,"2024-08-07"
6096,8717,"2019-06-03"
6097,11442,"2021-11-02"
6098,3482,"2020-04-21"
6099,4974,"2019-12-02"
6100,6058,"2017-08-20"
6101,7025,"2021-03-18"
6102,1019,"2023-10-31"
6103,4956,"2018-09-16"
6104,9289,"2023-05-08"
6105,6900,"2017-05-23"
6106,1347,"2023-08-04"
6107,5684,"2019-06-06"
6108,14316,"2024-12-06"
6109,9253,"2022-11-23"
6110,6951,"2018-09-07"
6111,10383,"2022-07-01"
6112,2794,"2018-11-14"
6113,8685,"2018-06-03"
6114,3742,"2023-11-27"
6115,10314,"2019-02-07"
6116,5687,"2023-07-11"
6117,13073,"2022-03-12"
6118,14021,"2019-03-21"
6119,6255,"2023-09-09"
6120,10539,"2022-04-13"
6121,3668,"2020-03-17"
6122,4613,"2017-02-18"
6123,9554,"2017-06-02"
6124,2388,"2019-06-10"
6125,10812,"2024-11-27"
6126,3473,"2023-09-11"
6127,10060,"2019-01-21"
6128,12948,"2018-03-05"
6129,14210,"2024-07-24"
6130,14804,"2018-05-05"
6131,7858,"2020-10-24"
6132,1206,"2023-03-30"
6133,2123,"2022-11-27"
6134,6796,"2020-07-10"
6135,3275,"2024-11-03"
6136,6925,"2023-12-13"
6137,5750,"2021-05-27"
6138,11475,"2017-08-09"
6139,5382,"2020-12-27"
6140,423,"2020-05-24"
6141,12202,"2023-10-20"
6142,13063,"2019-03-14"
6143,5989,"2020-03-29"
6144,1639,"2017-07-21"
6145,8692,"2022-03-03"
6146,14400,"2018-04-06"
6147,93,"2018-03-23"
6148,7836,"2024-12-17"
6149,8434,"2017-05-17"
6150,7407,"2020-01-03"
6151,6848,"2022-12-31"
6152,12792,"2019-04-20"
6153,7134,"2018-07-30"
6154,7912,"2021-04-19"
6155,12738,"2022-08-30"
6156,4375,"2019-11-23"
6157,4816,"2022-05-10"
6158,2408,"2023-06-17"
6159,14937,"2019-11-06"
6160,5576,"2022-01-03"
6161,3382,"2020-02-25"
6162,11165,"2024-02-02"
6163,5524,"2020-05-18"
6164,3100,"2022-07-04"
6165,3125,"2019-08-21"
6166,4343,"2019-05-28"
6167,11971,"2017-06-28"
6168,14693,"2019-11-24"
6169,570,"2017-01-31"
6170,13875,"2018-06-08"
6171,3497,"2018-07-14"
6172,1168,"2017-10-16"
6173,2439,"2018-10-20"
6174,14548,"2021-09-15"
6175,6683,"2019-03-08"
6176,1023,"2021-04-30"
6177,2379,"2020-03-14"
6178,10752,"2021-06-12"
6179,12003,"2017-05-26"
6180,13809,"2020-03-11"
6181,14290,"2019-07-25"
6182,12665,"2018-03-04"
6183,12921,"2020-07-03"
6184,10860,"2020-03-07"
6185,8848,"2020-09-18"
6186,920,"2020-09-27"
6187,4877,"2022-09-27"
6188,8619,"2023-08-06"
6189,10237,"2018-07-18"
6190,4115,"2019-02-18"
6191,12282,"2017-12-04"
6192,10026,"2020-04-18"
6193,10454,"2023-10-06"
6194,1110,"2021-11-22"
6195,5371,"2018-02-18"
6196,5652,"2024-10-24"
6197,2728,"2020-10-05"
6198,9193,"2024-02-17"
6199,12722,"2018-06-09"
6200,9831,"2017-03-20"
6201,12220,"2022-01-06"
6202,11817,"2023-03-09"
6203,14742,"2018-03-31"
6204,8222,"2020-02-20"
6205,6320,"2022-08-08"
6206,13823,"2017-09-11"
6207,653,"2024-04-01"
6208,10744,"2017-12-14"
6209,13367,"2017-08-17"
6210,2240,"2023-05-29"
6211,4859,"2017-10-18"
6212,7444,"2022-04-24"
6213,9632,"2019-07-03"
6214,3204,"2020-10-27"
6215,14776,"2018-04-30"
6216,2268,"2017-08-29"
6217,1726,"2018-08-08"
6218,7771,"2019-03-05"
6219,13152,"2019-03-26"
6220,6239,"2020-08-17"
6221,9032,"2023-02-09"
6222,497,"2017-05-13"
6223,4339,"2024-07-09"
6224,10460,"2020-08-09"
6225,419,"2019-09-05"
6226,2733,"2023-05-03"
6227,1171,"2022-12-14"
6228,8493,"2019-06-24"
6229,5087,"2022-10-30"
6230,12151,"2017-02-06"
6231,6444,"2018-02-28"
6232,9514,"2023-02-28"
6233,5986,"2023-12-09"
6234,2107,"2022-12-15"
6235,11443,"2017-04-01"
6236,9064,"2017-04-06"
6237,888,"2019-12-27"
6238,1775,"2022-07-31"
6239,9189,"2021-03-25"
6240,14089,"2018-05-07"
6241,180,"2018-07-08"
6242,9824,"2022-10-20"
6243,1591,"2022-05-17"
6244,10027,"2018-09-05"
6245,6968,"2024-10-09"
6246,9951,"2023-06-07"
6247,4799,"2021-03-02"
6248,9529,"2021-03-18"
6249,2116,"2021-11-30"
6250,3627,"2018-12-27"
6251,6895,"2017-05-13"
6252,7080,"2019-04-27"
6253,3023,"2022-08-31"
6254,4066,"2024-09-16"
6255,4995,"2024-12-04"
6256,12354,"2024-03-14"
6257,13800,"2024-09-25"
6258,14340,"2022-04-02"
6259,6333,"2022-07-30"
6260,13988,"2019-03-16"
6261,11367,"2020-05-21"
6262,11096,"2017-06-07"
6263,2405,"2021-06-01"
6264,581,"2021-11-19"
6265,6218,"2017-05-07"
6266,10631,"2024-03-10"
6267,31,"2018-09-16"
6268,12347,"2018-11-29"
6269,2497,"2021-01-07"
6270,826,"2020-08-17"
6271,2640,"2018-08-30"
6272,5458,"2017-07-19"
6273,13182,"2023-02-07"
6274,7540,"2021-04-07"
6275,6778,"2021-11-13"
6276,7443,"2018-07-15"
6277,10407,"2017-09-04"
6278,1967,"2023-08-14"
6279,7400,"2024-03-02"
6280,14281,"2023-06-24"
6281,11951,"2020-06-21"
6282,5693,"2018-07-17"
6283,3374,"2023-08-02"
6284,1079,"2021-12-31"
6285,11546,"2023-07-21"
6286,2665,"2018-09-05"
6287,5551,"2024-03-05"
6288,12337,"2021-01-30"
6289,4863,"2018-07-29"
6290,10738,"2017-08-25"
6291,5262,"2019-09-03"
6292,2319,"2023-02-23"
6293,5069,"2022-05-18"
6294,8007,"2017-07-08"
6295,14566,"2018-04-16"
6296,11925,"2024-12-31"
6297,13110,"2017-07-19"
6298,46,"2021-06-22"
6299,4634,"2017-03-14"
6300,7592,"2023-10-24"
6301,5717,"2021-02-22"
6302,2435,"2018-04-07"
6303,3158,"2017-08-11"
6304,8225,"2019-12-22"
6305,2017,"2021-09-16"
6306,10750,"2019-06-12"
6307,6049,"2021-06-01"
6308,8913,"2021-05-06"
6309,8715,"2024-08-17"
6310,9147,"2022-06-28"
6311,1345,"2019-03-31"
6312,1031,"2023-07-26"
6313,5843,"2021-02-18"
6314,1400,"2019-07-22"
6315,1926,"2017-09-28"
6316,12440,"2024-06-02"
6317,11199,"2021-09-05"
6318,2393,"2022-01-04"
6319,2096,"2019-08-27"
6320,8743,"2022-05-04"
6321,5310,"2019-11-02"
6322,2545,"2024-09-24"
6323,417,"2020-08-31"
6324,343,"2019-03-08"
6325,5146,"2023-06-13"
6326,6846,"2021-10-17"
6327,5728,"2018-05-16"
6328,5701,"2021-08-14"
6329,12486,"2023-02-20"
6330,3161,"2022-02-06"
6331,2389,"2022-08-19"
6332,9911,"2019-04-18"
6333,13992,"2023-01-05"
6334,14775,"2024-10-28"
6335,3328,"2024-05-17"
6336,10887,"2017-03-25"
6337,10671,"2020-08-04"
6338,12170,"2023-08-21"
6339,7659,"2023-01-13"
6340,2450,"2024-08-31"
6341,12361,"2018-11-08"
6342,2294,"2017-01-01"
6343,3956,"2021-04-15"
6344,7207,"2021-09-21"
6345,11657,"2021-11-09"
6346,263,"2018-01-31"
6347,12542,"2021-06-13"
6348,8600,"2021-01-11"
6349,3393,"2019-01-25"
6350,2976,"2023-07-24"
6351,14182,"2017-09-08"
6352,9413,"2017-08-04"
6353,10379,"2019-01-15"
6354,9644,"2020-04-20"
6355,14110,"2022-08-18"
6356,940,"2021-12-06"
6357,6812,"2022-02-17"
6358,13130,"2018-10-17"
6359,1940,"2024-12-01"
6360,7309,"2017-03-28"
6361,2725,"2019-12-20"
6362,3396,"2018-07-11"
6363,7982,"2022-03-29"
6364,2910,"2018-01-13"
6365,8900,"2022-11-07"
6366,5421,"2019-08-26"
6367,8407,"2021-05-18"
6368,7334,"2022-07-09"
6369,5351,"2024-01-07"
6370,12394,"2022-08-29"
6371,11901,"2020-05-16"
6372,8492,"2017-01-18"
6373,3878,"2020-07-31"
6374,7785,"2020-06-17"
6375,7177,"2023-12-08"
6376,10973,"2018-11-07"
6377,7699,"2019-08-11"
6378,11563,"2019-04-05"
6379,11294,"2017-12-16"
6380,8367,"2024-04-30"
6381,475,"2020-09-18"
6382,10162,"2022-10-12"
6383,3525,"2017-08-08"
6384,10588,"2021-11-26"
6385,6549,"2020-05-04"
6386,13937,"2022-05-01"
6387,2521,"2019-06-15"
6388,6973,"2022-05-18"
6389,6297,"2021-11-21"
6390,7627,"2017-01-31"
6391,7820,"2021-02-02"
6392,7593,"2021-03-28"
6393,6166,"2018-06-11"
6394,541,"2022-05-15"
6395,221,"2024-01-15"
6396,14495,"2021-09-18"
6397,12359,"2023-09-04"
6398,45,"2018-07-08"
6399,4135,"2017-07-11"
6400,7152,"2023-05-13"
6401,10589,"2021-02-02"
6402,1198,"2017-12-24"
6403,4161,"2020-06-22"
6404,10435,"2017-11-07"
6405,10625,"2017-03-06"
6406,9015,"2022-02-28"
6407,11998,"2024-08-16"
6408,7962,"2019-09-28"
6409,13934,"2017-03-24"
6410,4469,"2021-01-07"
6411,8027,"2022-06-28"
6412,9357,"2020-12-27"
6413,752,"2023-04-09"
6414,1421,"2019-05-07"
6415,11355,"2022-08-06"
6416,9407,"2023-04-02"
6417,5868,"2020-10-25"
6418,768,"2022-04-26"
6419,1319,"2019-10-26"
6420,8625,"2020-03-09"
6421,655,"2021-10-22"
6422,11047,"2019-05-19"
6423,8728,"2020-03-21"
6424,2983,"2020-04-30"
6425,1253,"2018-02-27"
6426,14738,"2019-09-24"
6427,10329,"2023-04-13"
6428,13588,"2017-11-27"
6429,9541,"2022-12-02"
6430,14055,"2022-04-26"
6431,12155,"2019-11-11"
6432,2137,"2023-07-25"
6433,6469,"2018-09-01"
6434,3081,"2018-07-05"
6435,481,"2017-08-13"
6436,10737,"2019-05-13"
6437,10212,"2020-07-04"
6438,12583,"2019-09-29"
6439,1643,"2024-01-21"
6440,9123,"2022-09-13"
6441,14079,"2021-08-23"
6442,344,"2018-10-07"
6443,2171,"2018-12-28"
6444,428,"2024-01-06"
6445,10627,"2021-03-19"
6446,6466,"2018-02-02"
6447,914,"2019-07-18"
6448,6359,"2021-02-18"
6449,6964,"2023-08-13"
6450,2933,"2018-01-29"
6451,14927,"2019-12-14"
6452,12908,"2018-10-07"
6453,7365,"2024-11-10"
6454,8262,"2023-02-18"
6455,13560,"2018-01-24"
6456,14794,"2022-10-25"
6457,13207,"2024-12-21"
6458,3796,"2024-10-04"
6459,10024,"2024-09-23"
6460,13810,"2019-11-05"
6461,10614,"2019-04-05"
6462,3313,"2018-04-07"
6463,3545,"2019-08-27"
6464,8518,"2023-08-19"
6465,6506,"2024-01-13"
6466,13755,"2021-12-31"
6467,8410,"2018-12-28"
6468,7422,"2019-09-21"
6469,2411,"2017-06-09"
6470,1869,"2017-10-15"
6471,9658,"2023-12-15"
6472,14235,"2023-04-17"
6473,2188,"2022-04-18"
6474,2264,"2017-06-08"
6475,8611,"2021-09-14"
6476,4642,"2021-08-09"
6477,7412,"2021-10-12"
6478,902,"2022-08-10"
6479,5901,"2019-04-18"
6480,29,"2021-10-18"
6481,12213,"2019-03-23"
6482,8212,"2020-09-07"
6483,8712,"2018-12-12"
6484,11974,"2021-10-20"
6485,11041,"2022-10-06"
6486,10822,"2018-04-25"
6487,6027,"2020-07-29"
6488,4680,"2021-01-04"
6489,1407,"2024-04-09"
6490,9702,"2022-12-08"
6491,14836,"2022-10-04"
6492,8998,"2021-01-25"
6493,2474,"2021-10-07"
6494,13498,"2023-05-30"
6495,7148,"2023-04-24"
6496,12882,"2019-11-04"
6497,12169,"2023-04-09"
6498,14735,"2022-02-28"
6499,11364,"2019-12-07"
6500,10365,"2020-08-01"
6501,12091,"2020-05-03"
6502,7060,"2020-01-24"
6503,10090,"2019-11-24"
6504,11261,"2024-12-30"
6505,6929,"2021-06-20"
6506,1753,"2024-01-28"
6507,9059,"2022-12-31"
6508,5284,"2022-06-13"
6509,170,"2018-09-04"
6510,2807,"2017-02-24"
6511,3298,"2018-11-13"
6512,14773,"2023-09-13"
6513,4981,"2017-04-11"
6514,11296,"2017-03-20"
6515,4403,"2024-03-02"
6516,5733,"2021-08-22"
6517,14803,"2023-04-13"
6518,14033,"2022-05-09"
6519,8673,"2017-08-07"
6520,12379,"2021-02-14"
6521,6420,"2022-11-27"
6522,14950,"2022-01-25"
6523,4265,"2019-08-28"
6524,8702,"2017-04-13"
6525,11636,"2017-09-19"
6526,8653,"2020-01-31"
6527,3143,"2018-04-02"
6528,12448,"2020-08-08"
6529,5159,"2017-04-29"
6530,878,"2019-02-15"
6531,5643,"2020-12-19"
6532,9233,"2023-07-09"
6533,2621,"2019-12-05"
6534,6395,"2018-09-21"
6535,5179,"2023-11-20"
6536,4818,"2023-03-14"
6537,9313,"2021-11-10"
6538,3775,"2021-01-22"
6539,5253,"2019-03-22"
6540,2892,"2023-01-08"
6541,4752,"2024-05-10"
6542,7310,"2023-01-05"
6543,10682,"2021-04-01"
6544,13351,"2022-11-24"
6545,13244,"2023-08-15"
6546,1828,"2020-03-19"
6547,7587,"2020-11-18"
6548,10031,"2017-11-17"
6549,9608,"2022-03-16"
6550,12927,"2017-03-25"
6551,8152,"2020-04-17"
6552,1542,"2019-09-09"
6553,2584,"2019-10-02"
6554,12195,"2018-04-05"
6555,2111,"2019-12-11"
6556,13555,"2018-12-30"
6557,9081,"2019-05-31"
6558,13022,"2017-04-14"
6559,8261,"2021-05-24"
6560,11753,"2023-09-16"
6561,2114,"2023-09-18"
6562,3709,"2020-10-03"
6563,2067,"2023-10-26"
6564,11651,"2017-06-22"
6565,3586,"2023-10-04"
6566,7731,"2017-11-10"
6567,6138,"2017-01-04"
6568,2601,"2023-01-25"
6569,11010,"2022-10-26"
6570,2204,"2021-05-29"
6571,5720,"2022-03-11"
6572,671,"2023-05-12"
6573,782,"2019-12-12"
6574,3850,"2021-01-17"
6575,13115,"2020-04-18"
6576,10923,"2021-03-06"
6577,13229,"2017-07-19"
6578,7463,"2017-11-06"
6579,6197,"2020-06-27"
6580,13258,"2023-02-13"
6581,2574,"2021-02-26"
6582,3836,"2019-05-17"
6583,3840,"2023-11-12"
6584,6800,"2018-10-09"
6585,1490,"2021-01-15"
6586,12546,"2024-11-21"
6587,2080,"2018-06-21"
6588,14230,"2021-01-17"
6589,13790,"2017-02-06"
6590,6829,"2020-12-17"
6591,11834,"2017-08-18"
6592,6979,"2022-11-08"
6593,4814,"2020-02-16"
6594,10508,"2020-12-15"
6595,1682,"2021-02-03"
6596,4688,"2019-11-02"
6597,7361,"2020-06-10"
6598,12902,"2021-05-22"
6599,9740,"2022-11-30"
6600,488,"2018-11-25"
6601,6425,"2020-10-12"
6602,3878,"2018-08-13"
6603,14207,"2024-11-29"
6604,8173,"2019-08-10"
6605,4025,"2020-03-10"
6606,5819,"2020-12-03"
6607,7280,"2023-08-16"
6608,5852,"2022-10-26"
6609,2098,"2019-05-14"
6610,3412,"2022-07-12"
6611,5878,"2017-07-02"
6612,677,"2019-12-03"
6613,11990,"2019-07-02"
6614,9237,"2022-01-02"
6615,11553,"2022-12-25"
6616,2758,"2020-01-10"
6617,10159,"2021-06-05"
6618,3614,"2017-05-05"
6619,1650,"2019-05-30"
6620,12710,"2023-03-08"
6621,7455,"2017-06-18"
6622,151,"2020-06-05"
6623,6146,"2023-10-12"
6624,2951,"2020-09-27"
6625,12772,"2019-11-17"
6626,10100,"2019-04-12"
6627,11280,"2020-11-26"
6628,8891,"2019-10-19"
6629,8050,"2017-11-09"
6630,3599,"2023-04-03"
6631,14305,"2020-04-24"
6632,430,"2022-07-11"
6633,3046,"2022-04-28"
6634,635,"2023-05-11"
6635,7909,"2017-04-20"
6636,11025,"2022-03-08"
6637,508,"2018-04-15"
6638,6575,"2024-10-21"
6639,5745,"2018-05-12"
6640,12869,"2023-01-25"
6641,2770,"2021-10-02"
6642,8123,"2023-11-04"
6643,4098,"2023-05-18"
6644,175,"2018-02-12"
6645,10368,"2020-03-30"
6646,7147,"2023-04-21"
6647,8976,"2021-03-08"
6648,11894,"2022-06-07"
6649,7894,"2024-12-12"
6650,13056,"2019-10-24"
6651,419,"2019-07-01"
6652,14128,"2017-08-16"
6653,11710,"2019-01-25"
6654,9236,"2021-03-28"
6655,8396,"2024-05-15"
6656,12266,"2018-01-10"
6657,13283,"2020-08-30"
6658,856,"2022-11-08"
6659,8726,"2022-12-24"
6660,6069,"2022-10-09"
6661,5271,"2021-10-11"
6662,14270,"2017-01-07"
6663,5784,"2023-05-11"
6664,14669,"2019-01-05"
6665,8972,"2021-10-12"
6666,1979,"2018-09-09"
6667,10300,"2017-06-16"
6668,11643,"2020-05-03"
6669,785,"2022-12-21"
6670,2410,"2017-04-23"
6671,12698,"2023-03-14"
6672,14362,"2024-07-15"
6673,8178,"2021-05-29"
6674,8714,"2024-05-26"
6675,2680,"2023-07-22"
6676,4414,"2023-04-14"
6677,6674,"2018-01-14"
6678,4610,"2024-01-06"
6679,7965,"2021-12-03"
6680,11111,"2021-11-12"
6681,6447,"2022-06-25"
6682,9697,"2024-10-23"
6683,10498,"2017-08-29"
6684,3476,"2019-01-19"
6685,7948,"2020-05-28"
6686,7342,"2018-04-27"
6687,10687,"2023-06-14"
6688,10777,"2017-04-25"
6689,5416,"2022-06-10"
6690,7305,"2020-12-12"
6691,14989,"2018-10-08"
6692,2317,"2017-11-01"
6693,11956,"2018-06-24"
6694,9347,"2021-04-15"
6695,9560,"2021-04-05"
6696,11403,"2017-07-16"
6697,1805,"2022-09-05"
6698,4061,"2017-10-15"
6699,11855,"2024-09-18"
6700,13978,"2019-11-07"
6701,12330,"2020-02-16"
6702,11883,"2019-06-07"
6703,6203,"2021-01-17"
6704,14333,"2021-02-28"
6705,8086,"2024-10-20"
6706,5298,"2018-12-21"
6707,8948,"2018-10-21"
6708,14390,"2019-01-20"
6709,1583,"2020-03-27"
6710,1461,"2022-06-20"
6711,9761,"2023-08-02"
6712,1770,"2024-01-27"
6713,9140,"2017-03-22"
6714,5815,"2018-10-31"
6715,12851,"2017-03-02"
6716,7278,"2018-06-26"
6717,10938,"2024-01-03"
6718,5996,"2023-07-14"
6719,658,"2022-11-03"
6720,4295,"2024-04-06"
6721,1872,"2017-03-20"
6722,4382,"2022-07-07"
6723,1555,"2021-01-29"
6724,3597,"2017-02-28"
6725,9277,"2019-03-20"
6726,3872,"2024-01-31"
6727,2576,"2020-06-20"
6728,4254,"2020-10-31"
6729,12095,"2023-11-24"
6730,4684,"2022-11-02"
6731,12949,"2018-03-01"
6732,4193,"2022-10-24"
6733,2197,"2021-06-02"
6734,7768,"2023-02-08"
6735,10030,"2022-05-22"
6736,14789,"2017-04-30"
6737,2618,"2020-10-12"
6738,9181,"2021-06-21"
6739,7595,"2023-03-29"
6740,10757,"2023-02-27"
6741,2908,"2020-12-28"
6742,7781,"2018-02-26"
6743,8296,"2024-08-08"
6744,14323,"2022-09-14"
6745,10630,"2019-03-05"
6746,8733,"2017-09-15"
6747,10477,"2024-03-21"
6748,3678,"2023-04-01"
6749,11367,"2020-11-17"
6750,12412,"2020-07-08"
6751,11297,"2024-07-10"
6752,5115,"2022-10-22"
6753,13220,"2017-03-28"
6754,14958,"2020-01-05"
6755,4846,"2021-06-21"
6756,5746,"2017-09-14"
6757,14417,"2024-02-14"
6758,8426,"2020-06-09"
6759,11094,"2023-06-27"
6760,1165,"2021-09-18"
6761,998,"2023-10-20"
6762,2844,"2021-12-31"
6763,35,"2022-01-06"
6764,3140,"2020-01-08"
6765,9950,"2017-06-29"
6766,702,"2019-04-03"
6767,2835,"2019-01-30"
6768,13997,"2020-08-15"
6769,5709,"2024-10-28"
6770,7825,"2019-02-03"
6771,13383,"2022-11-19"
6772,5252,"2018-05-01"
6773,14004,"2019-11-03"
6774,6248,"2024-12-07"
6775,2074,"2022-04-06"
6776,6274,"2024-10-04"
6777,1210,"2017-03-05"
6778,8823,"2018-09-18"
6779,12077,"2024-09-30"
6780,9293,"2022-11-09"
6781,11742,"2022-06-14"
6782,12807,"2021-03-06"
6783,3555,"2018-11-12"
6784,6910,"2024-10-01"
6785,83,"2018-03-07"
6786,13279,"2017-02-15"
6787,14603,"2017-03-02"
6788,6273,"2018-12-30"
6789,4426,"2017-01-27"
6790,11369,"2017-03-06"
6791,4105,"2022-03-27"
6792,8717,"2019-02-16"
6793,1229,"2024-06-11"
6794,11799,"2022-09-25"
6795,2490,"2022-01-15"
6796,10293,"2022-03-19"
6797,12198,"2019-05-30"
6798,8291,"2021-12-29"
6799,656,"2024-01-15"
6800,2179,"2020-06-04"
6801,1895,"2019-08-17"
6802,802,"2022-12-30"
6803,10597,"2022-03-15"
6804,61,"2020-07-11"
6805,5314,"2019-02-25"
6806,4056,"2018-04-09"
6807,10830,"2019-09-09"
6808,8658,"2023-03-03"
6809,10188,"2020-09-18"
6810,14632,"2022-12-15"
6811,8252,"2019-06-02"
6812,14320,"2024-09-16"
6813,9725,"2018-09-11"
6814,3530,"2022-04-29"
6815,5193,"2019-06-09"
6816,9969,"2019-02-15"
6817,6539,"2021-02-24"
6818,14419,"2018-10-08"
6819,6103,"2019-05-08"
6820,7086,"2022-02-12"
6821,1370,"2018-07-19"
6822,11869,"2022-05-12"
6823,11647,"2017-06-13"
6824,5656,"2017-04-14"
6825,9422,"2020-02-17"
6826,2398,"2024-11-06"
6827,871,"2018-06-16"
6828,5236,"2022-12-29"
6829,2068,"2019-03-24"
6830,8181,"2018-01-10"
6831,11959,"2019-02-04"
6832,1382,"2024-12-22"
6833,10788,"2018-12-21"
6834,7182,"2019-07-12"
6835,4288,"2019-07-05"
6836,4344,"2020-10-17"
6837,992,"2022-04-07"
6838,3506,"2020-06-18"
